MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
177,2210,Clarkwood St,Blue Hill Ave,Norfolk St,7,00:00.0,00:00.0,Odd,0.1975,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
178,2632,Bowdoin St,Cambridge St,Derne St,1H,01:00.0,00:00.0,Even,0.1186,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
179,2667,Avenue De Lafayette,Kingston St,Harrison Avenue Ext,1T,01:00.0,00:00.0,Ext,0.117,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
180,1984,Annapolis St,Sumner St,Bakersfield St,3,00:00.0,00:00.0,Odd,0.065,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
181,1822,Chestnut Ave,Centre St,Mozart St,2,00:00.0,00:00.0,Odd,0.235,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,441,Archdale Rd,Washington St,Dead End,2,00:00.0,00:00.0,Even,0.1456,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
183,1280,Arcadia Park,Draper St,Ditson St,3,00:00.0,00:00.0,Odd,0.0835,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
184,977,Appleton St,Tremont St,West Canton St,1S,00:00.0,00:00.0,Even,0.3938,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
185,2274,Ackley Pl,Washington St,Dead End,2,00:00.0,00:00.0,Odd,0.0455,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
186,775,Centre St,Dudley St,Columbus Ave,10R,00:00.0,00:00.0,Odd,0.543,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
187,2370,Brookside Ave,Boylston St,Green St,2,00:00.0,00:00.0,Odd,0.6477,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
188,753,Cleveland St,Winthrop St,Moreland St,10R,00:00.0,00:00.0,Odd,0.0676,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
189,2668,Avenue De Lafayette,Harrison Avenue Ext,Dead End,1T,01:00.0,00:00.0,Odd,0.0496,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
190,1752,Burbank St,Edgerly Rd,Hemenway St,10F,00:00.0,00:00.0,Odd,0.1328,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
191,381,Braintree St,Franklin St,Everett St,4,00:00.0,00:00.0,Odd,0.2727,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
192,1669,Brook Marshall Rd,Raynor Cir,Sojourner Truth Ct,10R,00:00.0,00:00.0,Even,0.0938,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
193,2586,Brighton Ave,Commonwealth Ave,Cambridge St,4,01:00.0,00:00.0,Odd Side Median,0.6739,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
194,1691,Church St,Adams St,East St,3,00:00.0,00:00.0,Odd,0.29,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
195,2881,Boston St,Dorchester Ave,Songin Father Anthony Way,5,00:00.0,00:00.0,Even,0.1057,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
196,1850,Archdale Rd,South St,Washington St,2,00:00.0,00:00.0,Odd,0.097,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
197,1861,Bower St,Walnut Ave,Walnut Ave,10R,00:00.0,00:00.0,Odd,0.0903,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
198,609,Bremen St,Sumner St,Porter St,9,00:00.0,00:00.0,Odd,0.347,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
199,2371,Brookside Ave,Boylston St,Green St,2,00:00.0,00:00.0,Even,0.6477,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
200,2531,Brighton Ave,Commonwealth Ave,Cambridge St,4,01:00.0,00:00.0,Odd,0.6739,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
201,1532,Arlington Ave,Alford St,Somerville Town Line,1C,00:00.0,00:00.0,Odd,0.1898,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
202,2055,Border St,Central Sq,Dead End,9,00:00.0,00:00.0,Odd,0.5587,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
203,2803,Charlesgate East,Back St,Newbury St,1B,01:00.0,00:00.0,,0.2127,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
204,2653,Church St,Stuart St,Columbus Ave,1B,01:00.0,00:00.0,,0.0392,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
